"codigo_ibge","safra_soja","latitude","longitude","area_total","n_sinistros","n_apolices","sum_indenizacao_total","sum_total_premios","tipo_solo","awc_ana","area_total_irrigada_fertigada_percentual","X","PC_Prec_1","PC_Prec_2","PC_Prec_3","PC_Prec_4","PC_Temp_1","PC_Temp_2"
3500550,2,-22.8812,-49.2421,769.07,0,13,0,126797.78,"LVef",0.0958834698584413,0.018407708630911,547,-0.000763472940623011,1.79485379225062,-0.196702886621862,-0.363352185105276,-0.140769615269555,-0.444663051042801
3500550,4,-22.8812,-49.2421,2113.98,0,22,0,341093.09,"LVef",0.0958834698584413,0.018407708630911,549,0.0131946557442049,0.0156459647696501,-0.00278173641408187,0.00988451677544837,-0.15377386495264,-0.33119907658677
4200556,1,-26.8794,-52.8568,0,0,0,0,NA,"CXve",0.135546164896335,0,570,-3.20121846049424,-3.70239651789292,2.56498395320216,-0.372484069450765,2.37494914868299,-0.62031022685915
4200556,3,-26.8794,-52.8568,0,0,0,0,NA,"CXve",0.135546164896335,0,572,-0.0476486309992906,-0.0327347219906262,-0.0247599393288232,-0.0175289268842042,0.926481650058781,0.395167763591147
4200556,5,-26.8794,-52.8568,72.42,1,4,19778.1644379059,15372.12,"CXve",0.135546164896335,0,574,-0.0253247676260235,-0.0199604555656635,-0.00775063196706564,-0.0130570051404576,0.850298651806619,0.26585109743347
4200556,6,-26.8794,-52.8568,16,1,1,16429.5663035253,6460.5,"CXve",0.135546164896335,0,575,-2.90188783008891,0.629359076715506,1.02777917641673,-2.37577965128148,2.59693130034078,-0.198099845100209
4300109,4,-29.6447,-53.2515,0,0,0,0,NA,"SXe",0.142042668237156,0.161048138504818,605,-0.0364779766577699,-0.00934766728240714,0.0136822604125169,0.00395802251076537,0.495325247131604,-0.316276497904315
4300109,5,-29.6447,-53.2515,146.5,0,5,0,31070.78,"SXe",0.142042668237156,0.161048138504818,606,-3.15563512580732,-0.784268791084567,-0.729247118928574,-0.378443511574013,1.83361415188069,-1.00461147704279
4300109,6,-29.6447,-53.2515,143,0,5,0,74978.83,"SXe",0.142042668237156,0.161048138504818,607,-3.71475273009791,1.39156967058935,1.62486870904825,-1.2089589821476,2.01742095730785,-1.10636272294376
3500709,1,-22.4694,-48.9863,0,0,0,0,NA,"LVd",0.0636200435,0.00739165062542035,610,1.27833676860095,0.599832499314958,0.574672960648735,-0.763828413110533,-1.32288787502592,-0.348673719416023
3500709,3,-22.4694,-48.9863,0,0,0,0,NA,"LVd",0.0636200435,0.00739165062542035,612,0.0168863761012487,0.0146084814177483,-0.00295812696482659,-0.00350095958069243,-0.251329756978933,-0.0863869670246832
4100301,3,-25.9899,-49.3343,0,0,0,0,NA,"PVAd",0.13011327588499,0.00124830308798976,620,-0.0141845083010804,-0.000547369788386636,-0.00640011679995834,-0.010585914536415,2.29206177668738,1.69049682788679
3101201,3,-21.9736,-44.6042,0,0,0,0,NA,"CXbd",0.115659919,0.00103337995789641,676,0.0201202833410933,0.00930801769117751,-0.00179694053345352,-0.00272250814660093,1.82062581631209,1.57179681776615
3101201,4,-21.9736,-44.6042,0,0,0,0,NA,"CXbd",0.115659919,0.00103337995789641,677,1.5964000575723,0.0194778993340317,0.928396523034621,1.25698772385081,3.86154511893922,1.223324885093
3101201,5,-21.9736,-44.6042,139.5,0,4,0,29111.83,"CXbd",0.115659919,0.00103337995789641,678,2.64584191854633,-1.2078944610382,0.252136988614837,1.16957321698935,3.94514856337553,2.26956100635671
3101201,6,-21.9736,-44.6042,309.39,0,6,0,107965.31,"CXbd",0.115659919,0.00103337995789641,679,2.04124646868465,0.830117526770769,1.21915171985591,-0.149970318240472,4.20084818612332,2.15184841934384
4300208,1,-28.2342,-53.7757,275,0,4,0,29942.45,"LVdf",0.123349553091922,0,682,-3.74758407958854,-1.74435583549799,2.39455162188904,-0.268528432532515,1.68037689490026,-1.38183079571486
4300208,2,-28.2342,-53.7757,30,0,1,0,6031.17,"LVdf",0.123349553091922,0,683,-1.41723980393633,-0.575509258563055,-0.998506171967285,0.61322000644829,2.5505044972999,-1.73416883718919
4300208,5,-28.2342,-53.7757,4772.83,3,150,27605.6661194695,1114420.55,"LVdf",0.123349553091922,0,686,-0.0299944134079575,-0.0155822675952009,-0.00292447356003415,-0.011214436983276,0.523532985358481,-0.156905369315384
4300208,6,-28.2342,-53.7757,3304.49,73,116,1189182.45553739,1284681.39,"LVdf",0.123349553091922,0,687,-3.12038830941685,1.28252147348835,1.07187441826374,-1.63664561081268,1.90276704409611,-0.886045212623643
3500758,1,-23.5503,-47.898,0,0,0,0,NA,"LVd",0.0913607795316838,0.00037593984962406,746,0.619136684001103,0.139175890483947,0.41769376331572,0.544868930583646,2.49929820226881,0.811404149748569
3500758,2,-23.5503,-47.898,83.26,0,1,0,10451.14,"LVd",0.0913607795316838,0.00037593984962406,747,-0.102596326864041,1.8317662034541,-0.673277999535588,-0.650926889297988,2.77296848643998,0.144254323950585
3500758,6,-23.5503,-47.898,662.25,0,10,0,208554.21,"LVd",0.0913607795316838,0.00037593984962406,751,0.0167747491072281,0.0239818094644533,0.000319969918142829,0.000563290073103604,1.19138313216768,0.978059062920904
4300307,5,-27.6579,-54.7649,69.25,0,3,0,17173.23,"CXve",0.116969396969959,0,814,-0.0171406734008976,-0.00776084404528853,-0.0080462073214005,-0.0135281907191165,0.036282350717874,-0.498028409207266
4300406,1,-29.7902,-55.7949,835,0,8,0,92735.79,"RLe",0.13388356628133,0.0744364407994472,826,-2.98193935051528,-0.0284247915043924,1.81067362820451,0.586677182042435,1.82483916838921,-1.75580809376371
4300406,2,-29.7902,-55.7949,2831.87,0,13,0,332733.84,"RLe",0.13388356628133,0.0744364407994472,827,-1.22650847633446,-0.0975005360286158,-1.03817945479224,0.257840137404954,3.13926639465749,-1.86231340122541
4300406,3,-29.7902,-55.7949,2024.59,0,10,0,248740.26,"RLe",0.13388356628133,0.0744364407994472,828,-3.76125718192099,-0.192128629833473,-1.7348055574646,0.28504559863,2.00446754056541,-1.14879659761816
4300406,4,-29.7902,-55.7949,7692.19,30,36,12848621.6970712,1808136.47,"RLe",0.13388356628133,0.0744364407994472,829,-1.81049515592245,-0.289446473523255,0.170623759938806,-1.03942631854003,2.38332387999191,-1.41369884691978
4300406,5,-29.7902,-55.7949,25702.75,3,153,71547.0560284732,6583516.89,"RLe",0.13388356628133,0.0744364407994472,830,-2.65496638141156,0.28217665386483,-0.430762141972614,-0.344415467091959,2.36784736247224,-0.916291242524226
4300455,3,-27.8345,-54.0557,0,0,0,0,NA,"LVdf",0.124333333,0.00565147986862907,844,-0.0314048430034915,-0.0139184521032795,-0.0223248810975799,-0.0113066687572483,0.16200942740714,-0.38233343878803
5200308,1,-16.0834,-48.5076,778.5,0,4,0,49821.73,"CXbd",0.117121048483879,0.00794336535551935,874,2.40792107181371,-0.506463620354056,-1.54978442188265,-1.99858642141822,-1.48831046496236,1.35757982272718
